Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Section)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	School	Class
11	assign-filtered	179d83638fa4d5a9894d95056f3fe0d5	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:48:31	US/Eastern	1	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 2072; PosY: 2497						CMU	Intro to Philosophy - Harrell
12	assign-filtered	1d752e5d47594dc1155aecf7a812d02b	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:48:34	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					897	Create Box							CMU	Intro to Philosophy - Harrell
13	assign-filtered	30fb7dfcc59736ea4c49ba719ebf34cf	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:48:38	US/Eastern	4	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					897	Reposition Box	PosX: 2395; PosY: 2567						CMU	Intro to Philosophy - Harrell
14	assign-filtered	d4c9832f28be8f5327f44300b00b378b	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:49:22	US/Eastern	44	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					897	Reposition Box	PosX: 2265; PosY: 2640						CMU	Intro to Philosophy - Harrell
15	assign-filtered	0df1fcb4675f797fffeea75f3d4c7c69	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:49:29	US/Eastern	3.5	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					897	Modify Text	All men must die is not a miracle						CMU	Intro to Philosophy - Harrell
16	assign-filtered	1e44d8edc13d130aa42064d1ded520d7	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:49:29	US/Eastern	3.5	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					912	Create Box							CMU	Intro to Philosophy - Harrell
17	assign-filtered	4498c08096074075afae5aa7ec4f4f95	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:49:45	US/Eastern	16	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					912	Modify Text	Water extinguishing fire is not a miracle.						CMU	Intro to Philosophy - Harrell
18	assign-filtered	17e068068eb9ae00974fbf85902b0abb	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:49:49	US/Eastern	4	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					912	Reposition Box	PosX: 2695; PosY: 2619						CMU	Intro to Philosophy - Harrell
19	assign-filtered	2670af497804f2d161eed7c752ae382b	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:49:55	US/Eastern	6	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					912	Reposition Box	PosX: 2637; PosY: 2499						CMU	Intro to Philosophy - Harrell
20	assign-filtered	5f5365be66190418f5a4907e953e8bf5	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:50:15	US/Eastern	20	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					929	Create Box							CMU	Intro to Philosophy - Harrell
21	assign-filtered	41dea935981cc1039869fc518aeaee5d	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:51:05	US/Eastern	50	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					929	Modify Text	A man, seemingly in good health, who dies all of a sudden is not a miracle because although uncommon, it is still observed frequently.						CMU	Intro to Philosophy - Harrell
22	assign-filtered	8191a397329c64378103c668b252f8bb	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:51:11	US/Eastern	6	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					929	Reposition Box	PosX: 2523; PosY: 2605						CMU	Intro to Philosophy - Harrell
23	assign-filtered	cb3821391b4a89e3193f3b33571bcfdd	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:52:16	US/Eastern	65	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					954	Create Box							CMU	Intro to Philosophy - Harrell
24	assign-filtered	7277bda31d73a0c7eb42bf5341a1363f	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:52:55	US/Eastern	19.5	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					954	Modify Text	It is a miracle that a dead man comes to live because that has never been observed before						CMU	Intro to Philosophy - Harrell
25	assign-filtered	18cb8b07b4e26544107fac3ef6efc743	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:52:55	US/Eastern	19.5	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					963	Create Box							CMU	Intro to Philosophy - Harrell
26	assign-filtered	032691f64c7476507d965f1e6234b5f1	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:52:57	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					963	Reposition Box	PosX: 2682; PosY: 2391						CMU	Intro to Philosophy - Harrell
27	assign-filtered	02d76c42ad906a9a806450e518dfc49e	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:53:11	US/Eastern	14	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					963	Modify Text	There must be a uniform experience against every miraculous event.						CMU	Intro to Philosophy - Harrell
28	assign-filtered	d7efbdd64bc7cffd1d12a476ed357d90	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:53:24	US/Eastern	13	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					963	Reposition Box	PosX: 2727; PosY: 2384						CMU	Intro to Philosophy - Harrell
29	assign-filtered	e30991edb9784b26af1af652fdb2e976	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:53:34	US/Eastern	10	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					963	Modify Text	There must be a uniform experience against every miraculous event, otherwise it is not a miracle.						CMU	Intro to Philosophy - Harrell
30	assign-filtered	829a762eb2ab97089b1c43d1c93e39a1	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:54:15	US/Eastern	41	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					982	Create Box							CMU	Intro to Philosophy - Harrell
31	assign-filtered	f188233553f8c5702616465adc711a63	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:54:16	US/Eastern	1	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					982	Reposition Box	PosX: 2131; PosY: 2269						CMU	Intro to Philosophy - Harrell
32	assign-filtered	e75ce3a23dcc8e67550161b003583bc1	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:54:59	US/Eastern	43	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					997	Create Box							CMU	Intro to Philosophy - Harrell
33	assign-filtered	8d5f173e474e860c4c48f858bd4df5d2	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:55:01	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					997	Reposition Box	PosX: 2455; PosY: 2358						CMU	Intro to Philosophy - Harrell
34	assign-filtered	7ebed42b0d690ba7707a04fcd7977475	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:55:07	US/Eastern	6	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					997	Reposition Box	PosX: 2486; PosY: 2337						CMU	Intro to Philosophy - Harrell
35	assign-filtered	c1da22a6975a19f8c769c2276b08e95e	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:55:56	US/Eastern	49	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					997	Reposition Box	PosX: 2604; PosY: 2183						CMU	Intro to Philosophy - Harrell
36	assign-filtered	e5d1c375c5bbc19b4ef02da36c5c2d91	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:55:58	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					835	Reposition Box	PosX: 2346; PosY: 2211						CMU	Intro to Philosophy - Harrell
37	assign-filtered	cb4682eb17f0527b4c3b7b973b610b84	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:02	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					997	Modify Text	No testimony is sufficient to establish a miracle, unless the testimony be of such a kind, that its falsehood would be more miraculous, than the fact, which it endeavours to establish.						CMU	Intro to Philosophy - Harrell
38	assign-filtered	57744831d927b131100012d02bf55435	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:02	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					1011	Create Box							CMU	Intro to Philosophy - Harrell
39	assign-filtered	4c8b1a5570b830af5660d30d98da67f8	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:16	US/Eastern	7	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					1011	Reposition Box	PosX: 2522; PosY: 2354						CMU	Intro to Philosophy - Harrell
40	assign-filtered	b57b977a4c076426de4e991d250b429e	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:16	US/Eastern	7	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					1011	Modify Text	Nothing is esteemed a miracle, if it ever happened in the common course of nature.						CMU	Intro to Philosophy - Harrell
41	assign-filtered	0ebff5452dd4d25c0fb24e4fc6c0a323	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:18	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					835	Modify Text	Nothing is esteemed a miracle, if it ever happened in th common course of nature.						CMU	Intro to Philosophy - Harrell
42	assign-filtered	3a2df29dca5dcd5d0968e3d04c01a43e	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:20	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					835	Delete Box							CMU	Intro to Philosophy - Harrell
43	assign-filtered	436f0b1ca91fc372241b551460a0f6c5	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:29	US/Eastern	9	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					997	Reposition Box	PosX: 2388; PosY: 2198						CMU	Intro to Philosophy - Harrell
44	assign-filtered	e0a4773a683e717170072245594a84d0	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:38	US/Eastern	9	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					954	Reposition Box	PosX: 2271; PosY: 2425						CMU	Intro to Philosophy - Harrell
45	assign-filtered	40e4dc610f7c38c8897a56606a3e6e08	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:51	US/Eastern	13	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 2042; PosY: 2642						CMU	Intro to Philosophy - Harrell
46	assign-filtered	eac96176b1fd76da819203c665216d36	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:54	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					897	Reposition Box	PosX: 2043; PosY: 2511						CMU	Intro to Philosophy - Harrell
47	assign-filtered	dcc9cb0e3cc7aee153a55215e0a5ebeb	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:56:57	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					912	Reposition Box	PosX: 2268; PosY: 2525						CMU	Intro to Philosophy - Harrell
48	assign-filtered	e3b051e8c81231dbb8dc03bd48e3c019	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:07	US/Eastern	10	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					954	Reposition Box	PosX: 2717; PosY: 2484						CMU	Intro to Philosophy - Harrell
49	assign-filtered	41ace6e75010cb84faedce52f4570940	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:13	US/Eastern	6	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 1966; PosY: 2269						CMU	Intro to Philosophy - Harrell
50	assign-filtered	0237225d7e053942af059e23bb560f59	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:15	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					897	Reposition Box	PosX: 1993; PosY: 2615						CMU	Intro to Philosophy - Harrell
51	assign-filtered	93c4a07255618e6aacd0cd22b3ff4170	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:17	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					912	Reposition Box	PosX: 2206; PosY: 2609						CMU	Intro to Philosophy - Harrell
52	assign-filtered	3b3fab17aeeefbf26595ac4f4552f00c	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:22	US/Eastern	5	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					929	Reposition Box	PosX: 2748; PosY: 2602						CMU	Intro to Philosophy - Harrell
53	assign-filtered	b1a27810e3483321ee2118e023f5e266	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:34	US/Eastern	12	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					954	Reposition Box	PosX: 2451; PosY: 2616						CMU	Intro to Philosophy - Harrell
54	assign-filtered	2ba0153e947617f67ffeda9b5dc48993	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:37	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					963	Reposition Box	PosX: 2731; PosY: 2490						CMU	Intro to Philosophy - Harrell
55	assign-filtered	da6be486c7be44cd635a9a2423c7b6ec	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:41	US/Eastern	4	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					982	Reposition Box	PosX: 2744; PosY: 2183						CMU	Intro to Philosophy - Harrell
56	assign-filtered	1e49be31c0e1eb23032b63b12f551e3f	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:44	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 2198; PosY: 2351						CMU	Intro to Philosophy - Harrell
57	assign-filtered	381c1f7b081eb3881a059454298b76f1	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:47	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					1011	Reposition Box	PosX: 2026; PosY: 2501						CMU	Intro to Philosophy - Harrell
58	assign-filtered	f77a82a99b885cddeb61fd09226d8bdc	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:53	US/Eastern	6	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					963	Reposition Box	PosX: 2570; PosY: 2460						CMU	Intro to Philosophy - Harrell
59	assign-filtered	522885c06cdc2f096afcdaefd6ac33fb	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:55	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					1011	Reposition Box	PosX: 2151; PosY: 2487						CMU	Intro to Philosophy - Harrell
60	assign-filtered	7deef175243daab22537aaf18d09c706	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:57:57	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 2355; PosY: 2361						CMU	Intro to Philosophy - Harrell
61	assign-filtered	91b809f025f112039936ebd364455548	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:58:08	US/Eastern	11	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					982	Delete Box							CMU	Intro to Philosophy - Harrell
62	assign-filtered	91d83be55dbae07c0ea74c47b7b69abc	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:58:12	US/Eastern	4	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					832	Reposition Box	PosX: 2383; PosY: 2349						CMU	Intro to Philosophy - Harrell
63	assign-filtered	56c9b75f0cd67f9dc1d2a23a136ab02f	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:58:14	US/Eastern	2	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					963	Reposition Box	PosX: 2577; PosY: 2474						CMU	Intro to Philosophy - Harrell
64	assign-filtered	86deca4a3b487f90d22100174f6bcd67	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:58:17	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					1011	Reposition Box	PosX: 2194; PosY: 2478						CMU	Intro to Philosophy - Harrell
65	assign-filtered	dabcf435d27c94e4a314a16ad1106464	Stu_07c29c539edd7145836b319398a15e62	496DE41B397E279663DA4095C4DBEE501665397053	2016-01-29 15:58:20	US/Eastern	3	ATTEMPT				01	Assign01-sB	1	2016-01-29 15:44:03					897	Reposition Box	PosX: 1990; PosY: 2649						CMU	Intro to Philosophy - Harrell
66	assign-filtered	332a4821c861017d92f3b028665fb5e3	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:40:52	US/Eastern	0	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					299	Create Box							CMU	Intro to Philosophy - Harrell
67	assign-filtered	082766779caf7dd8742fcd0213d8fef5	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:41:05	US/Eastern	13	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					299	Reposition Box	PosX: 2417; PosY: 2217						CMU	Intro to Philosophy - Harrell
68	assign-filtered	5f23785aecd5612d1527ca5c510127d3	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:41:17	US/Eastern	12	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					299	Modify Text	Miracles do not exist						CMU	Intro to Philosophy - Harrell
69	assign-filtered	354610d4a432fd0847bedb1e49e8d614	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:42:15	US/Eastern	58	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					299	Reposition Box	PosX: 2366; PosY: 2215						CMU	Intro to Philosophy - Harrell
70	assign-filtered	0406e9990a4f4f9b63b67105faeace2b	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:43:33	US/Eastern	78	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					345	Create Box							CMU	Intro to Philosophy - Harrell
71	assign-filtered	267675e2a4fdd59c114684dfe5d6a6f7	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:43:53	US/Eastern	20	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					345	Modify Text	There must be a uniform experience against every miraculous event						CMU	Intro to Philosophy - Harrell
72	assign-filtered	0823bafa3dd981fd0b2abff4c67eb434	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:44:01	US/Eastern	8	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					345	Reposition Box	PosX: 2656; PosY: 2269						CMU	Intro to Philosophy - Harrell
73	assign-filtered	70290b3d6289e7f2196eea176d4e1cbd	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:45:13	US/Eastern	72	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					345	Reposition Box	PosX: 2735; PosY: 2267						CMU	Intro to Philosophy - Harrell
74	assign-filtered	8f55dd388986b697382a54a59036fa3a	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:45:16	US/Eastern	3	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					365	Create Box							CMU	Intro to Philosophy - Harrell
75	assign-filtered	ccdac3eef4fc6ff3f2833ff7f72d8091	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:45:18	US/Eastern	2	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					365	Reposition Box	PosX: 2741; PosY: 2371						CMU	Intro to Philosophy - Harrell
76	assign-filtered	ba4964436dbba1fc82ba2160e602fffe	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:45:21	US/Eastern	3	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					365	Reposition Box	PosX: 2563; PosY: 2403						CMU	Intro to Philosophy - Harrell
77	assign-filtered	e7e70d26e44001186a7d7aefa62f91ff	Stu_0b0b9ced48a5d2001fb14b0656ee5876	2AE8F326713EA2A3A5A41A2353D6F93B-475264858	2016-01-29 14:45:28	US/Eastern	7	ATTEMPT				01	Assign01-gB	1	2016-01-29 14:40:52					365	Reposition Box	PosX: 2862; PosY: 2446						CMU	Intro to Philosophy - Harrell
